music_samples,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trigger.started,trigger.stopped,discard.started,text_discard.started,text_discard.stopped,discard.stopped,trial.started,text_rest.started,text_mi.started,text_rest.stopped,text_mi.stopped,sound_noise.started,text_noise.started,sound_noise.stopped,text_noise.stopped,sound_music.started,text_music.started,sound_music.stopped,image_report.started,key_resp_rating.started,text_music.stopped,text_inter.started,image_report.stopped,key_resp_rating.stopped,trial.stopped,key_resp_rating.keys,image_rating_idx,participant,session,trigger,response_box,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,0.04120069999953557,18.69508119999955,,,,,,,,,,,,,,,,,,,,,,,,,,loc155,001,True,True,2024-09-23_15h16.21.833,localizer,2024.1.5,None,2024-09-23 15h16.32.822862 +0100,
,,,,,,,,,18.69510210000044,18.6983909999999,30.7241611999998,30.688483399999313,,,,,,,,,,,,,,,,,,,,,,loc155,001,True,True,2024-09-23_15h16.21.833,localizer,2024.1.5,None,2024-09-23 15h16.32.822862 +0100,
audio/music_sample_p_004.wav,0,0,0,7,30.7241611999998,,,,,,,,30.69307619999927,30.7241611999998,42.70723089999956,42.7242255000001,54.7079904000002,54.70807626666671,54.7079904000002,66.71542009999939,66.71542009999939,66.70842716666654,66.71542009999939,78.885038299999,78.885038299999,78.885038299999,78.93956549999893,84.76701130000038,84.92154699999992,84.92154699999992,90.70709709999937,None,5,loc155,001,True,True,2024-09-23_15h16.21.833,localizer,2024.1.5,None,2024-09-23 15h16.32.822862 +0100,
audio/music_sample_n_003.wav,0,1,1,0,90.73150139999962,,,,,,,,90.70740689999911,90.73150139999962,102.70746549999967,102.74079990000064,114.70787709999968,114.70791856666644,114.70787709999968,126.71543269999893,126.71543269999893,126.70827926666631,126.71543269999893,138.76393839999946,138.76393839999946,138.76393839999946,138.81191410000065,144.73952889999964,144.86060159999943,144.86060159999943,150.7090850000004,None,4,loc155,001,True,True,2024-09-23_15h16.21.833,localizer,2024.1.5,None,2024-09-23 15h16.32.822862 +0100,
audio/music_sample_p_003.wav,0,2,2,6,150.74434800000017,,,,,,,,150.7096889000004,150.74434800000017,162.70922729999984,162.7591670999991,174.7097386000005,174.70972316666692,174.7097386000005,186.7144062999996,186.7144062999996,186.71018876666702,186.7144062999996,198.76424009999937,198.76424009999937,198.76424009999937,198.80914099999973,204.73803159999989,204.8290599999982,204.8290599999982,210.71120070000143,None,4,loc155,001,True,True,2024-09-23_15h16.21.833,localizer,2024.1.5,None,2024-09-23 15h16.32.822862 +0100,
audio/music_sample_p_002.wav,0,3,3,5,210.7453989000005,,,,,,,,210.71182020000015,210.7453989000005,222.69468629999938,222.74469409999983,234.6952833000014,234.6953068666683,234.6952833000014,246.6956517999988,246.6956517999988,246.69562576666638,246.6956517999988,258.74300140000014,258.74300140000014,258.74300140000014,258.74300140000014,264.73815170000125,264.7840336999998,264.7840336999998,270.6966787000001,None,4,loc155,001,True,True,2024-09-23_15h16.21.833,localizer,2024.1.5,None,2024-09-23 15h16.32.822862 +0100,
audio/music_sample_n_001.wav,0,4,4,4,270.7295807999999,,,,,,,,270.6972616000003,270.7295807999999,282.69707870000093,282.73025750000124,294.697393299999,294.69740986666716,294.697393299999,306.70325019999837,306.70325019999837,306.69779996666534,306.70325019999837,318.75373370000125,318.75373370000125,318.75373370000125,318.7997708999992,324.750589199999,324.7997258000014,324.7997258000014,330.6988141999991,None,4,loc155,001,True,True,2024-09-23_15h16.21.833,localizer,2024.1.5,None,2024-09-23 15h16.32.822862 +0100,
audio/music_sample_n_002.wav,0,5,5,1,330.730940200001,,,,,,,,330.69934199999807,330.730940200001,342.69930489999933,342.73255600000084,354.6996735999983,354.6997003666677,354.6996735999983,366.7029897000011,366.7029897000011,366.69985896666753,366.7029897000011,378.7567676999988,378.7567676999988,378.7567676999988,378.802125799999,384.7459819000014,384.7918335000013,384.7918335000013,390.701018400001,None,3,loc155,001,True,True,2024-09-23_15h16.21.833,localizer,2024.1.5,None,2024-09-23 15h16.32.822862 +0100,
audio/music_sample_n_004.wav,0,6,6,2,390.73496669999986,,,,,,,,390.70158849999825,390.73496669999986,402.70131500000025,402.7347325999999,414.70176829999946,414.7018185666659,414.70176829999946,426.7031001000014,426.7031001000014,426.70214516666806,426.7031001000014,438.75552929999867,438.75552929999867,438.75552929999867,438.75552929999867,444.75073800000064,444.79538259999936,444.79538259999936,450.7031933999988,None,2,loc155,001,True,True,2024-09-23_15h16.21.833,localizer,2024.1.5,None,2024-09-23 15h16.32.822862 +0100,
audio/music_sample_p_001.wav,0,7,7,3,450.7374073999981,,,,,,,,450.7037021999986,450.7374073999981,462.7034588000006,462.7367902999995,474.7094893000012,474.70945826666707,474.7094893000012,486.72406339999907,486.72406339999907,486.7045022666664,486.7044955000001,498.75313650000135,498.75313650000135,498.75313650000135,498.75313650000135,504.758238299999,504.80401280000115,504.80401280000115,510.70545649999804,None,5,loc155,001,True,True,2024-09-23_15h16.21.833,localizer,2024.1.5,None,2024-09-23 15h16.32.822862 +0100,
,,,,,,,,,510.70574360000137,510.72196879999865,,522.7060063000008,,,,,,,,,,,,,,,,,,,,,,loc155,001,True,True,2024-09-23_15h16.21.833,localizer,2024.1.5,None,2024-09-23 15h16.32.822862 +0100,
